# Photoabsorption spectrum from real-time propagation
# GPAW version: 22.8.0
# Total time = 20.0000 fs, Time steps = [0.0000, 8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    5.400000     0.0000000000e+00     0.0000000000e+00     3.3839904970e-02
    5.450000     0.0000000000e+00     0.0000000000e+00     3.1463731128e-02
    5.500000     0.0000000000e+00     0.0000000000e+00     2.9023735241e-02
    5.550000     0.0000000000e+00     0.0000000000e+00     2.7094260417e-02
    5.600000     0.0000000000e+00     0.0000000000e+00     2.6235707076e-02
    5.650000     0.0000000000e+00     0.0000000000e+00     2.6927041485e-02
    5.700000     0.0000000000e+00     0.0000000000e+00     2.9507905956e-02
    5.750000     0.0000000000e+00     0.0000000000e+00     3.4124209444e-02
    5.800000     0.0000000000e+00     0.0000000000e+00     4.0682891009e-02
    5.850000     0.0000000000e+00     0.0000000000e+00     4.8838909081e-02
    5.900000     0.0000000000e+00     0.0000000000e+00     5.8046635887e-02
    5.950000     0.0000000000e+00     0.0000000000e+00     6.7696654834e-02
    6.000000     0.0000000000e+00     0.0000000000e+00     7.7324764808e-02
    6.050000     0.0000000000e+00     0.0000000000e+00     8.6833666278e-02
    6.100000     0.0000000000e+00     0.0000000000e+00     9.6631833617e-02
    6.150000     0.0000000000e+00     0.0000000000e+00     1.0759364135e-01
    6.200000     0.0000000000e+00     0.0000000000e+00     1.2079426956e-01
    6.250000     0.0000000000e+00     0.0000000000e+00     1.3706377015e-01
    6.300000     0.0000000000e+00     0.0000000000e+00     1.5650270974e-01
    6.350000     0.0000000000e+00     0.0000000000e+00     1.7815843654e-01
    6.400000     0.0000000000e+00     0.0000000000e+00     2.0003670899e-01
    6.450000     0.0000000000e+00     0.0000000000e+00     2.1951225251e-01
    6.500000     0.0000000000e+00     0.0000000000e+00     2.3404219959e-01
    6.550000     0.0000000000e+00     0.0000000000e+00     2.4194794167e-01
    6.600000     0.0000000000e+00     0.0000000000e+00     2.4298098919e-01
    6.650000     0.0000000000e+00     0.0000000000e+00     2.3845579585e-01
    6.700000     0.0000000000e+00     0.0000000000e+00     2.3089051100e-01
    6.750000     0.0000000000e+00     0.0000000000e+00     2.2327673197e-01
    6.800000     0.0000000000e+00     0.0000000000e+00     2.1822678955e-01
    6.850000     0.0000000000e+00     0.0000000000e+00     2.1727660213e-01
    6.900000     0.0000000000e+00     0.0000000000e+00     2.2055335852e-01
    6.950000     0.0000000000e+00     0.0000000000e+00     2.2688613952e-01
    7.000000     0.0000000000e+00     0.0000000000e+00     2.3429453221e-01
    7.050000     0.0000000000e+00     0.0000000000e+00     2.4068078230e-01
    7.100000     0.0000000000e+00     0.0000000000e+00     2.4450480015e-01
    7.150000     0.0000000000e+00     0.0000000000e+00     2.4524793177e-01
    7.200000     0.0000000000e+00     0.0000000000e+00     2.4355801033e-01
    7.250000     0.0000000000e+00     0.0000000000e+00     2.4108108933e-01
    7.300000     0.0000000000e+00     0.0000000000e+00     2.4007963473e-01
    7.350000     0.0000000000e+00     0.0000000000e+00     2.4297569460e-01
    7.400000     0.0000000000e+00     0.0000000000e+00     2.5193070097e-01
    7.450000     0.0000000000e+00     0.0000000000e+00     2.6850592856e-01
    7.500000     0.0000000000e+00     0.0000000000e+00     2.9338695306e-01
    7.550000     0.0000000000e+00     0.0000000000e+00     3.2614466511e-01
    7.600000     0.0000000000e+00     0.0000000000e+00     3.6505419805e-01
    7.650000     0.0000000000e+00     0.0000000000e+00     4.0706677015e-01
    7.700000     0.0000000000e+00     0.0000000000e+00     4.4806541474e-01
    7.750000     0.0000000000e+00     0.0000000000e+00     4.8348265543e-01
    7.800000     0.0000000000e+00     0.0000000000e+00     5.0921585414e-01
    7.850000     0.0000000000e+00     0.0000000000e+00     5.2260674092e-01
    7.900000     0.0000000000e+00     0.0000000000e+00     5.2315224398e-01
    7.950000     0.0000000000e+00     0.0000000000e+00     5.1265792780e-01
    8.000000     0.0000000000e+00     0.0000000000e+00     4.9473391330e-01
    8.050000     0.0000000000e+00     0.0000000000e+00     4.7378593914e-01
    8.100000     0.0000000000e+00     0.0000000000e+00     4.5385213995e-01
    8.150000     0.0000000000e+00     0.0000000000e+00     4.3768705457e-01
    8.200000     0.0000000000e+00     0.0000000000e+00     4.2638116611e-01
    8.250000     0.0000000000e+00     0.0000000000e+00     4.1958712566e-01
    8.300000     0.0000000000e+00     0.0000000000e+00     4.1620137124e-01
    8.350000     0.0000000000e+00     0.0000000000e+00     4.1520757162e-01
    8.400000     0.0000000000e+00     0.0000000000e+00     4.1636446749e-01
    8.450000     0.0000000000e+00     0.0000000000e+00     4.2050281115e-01
    8.500000     0.0000000000e+00     0.0000000000e+00     4.2934035358e-01
    8.550000     0.0000000000e+00     0.0000000000e+00     4.4487960447e-01
    8.600000     0.0000000000e+00     0.0000000000e+00     4.6857938092e-01
    8.650000     0.0000000000e+00     0.0000000000e+00     5.0056099325e-01
    8.700000     0.0000000000e+00     0.0000000000e+00     5.3910857130e-01
    8.750000     0.0000000000e+00     0.0000000000e+00     5.8064794953e-01
    8.800000     0.0000000000e+00     0.0000000000e+00     6.2025390803e-01
    8.850000     0.0000000000e+00     0.0000000000e+00     6.5257669656e-01
    8.900000     0.0000000000e+00     0.0000000000e+00     6.7294697530e-01
    8.950000     0.0000000000e+00     0.0000000000e+00     6.7836258106e-01
    9.000000     0.0000000000e+00     0.0000000000e+00     6.6810341202e-01
    9.050000     0.0000000000e+00     0.0000000000e+00     6.4384411845e-01
    9.100000     0.0000000000e+00     0.0000000000e+00     6.0928677244e-01
    9.150000     0.0000000000e+00     0.0000000000e+00     5.6945831748e-01
    9.200000     0.0000000000e+00     0.0000000000e+00     5.2987202233e-01
    9.250000     0.0000000000e+00     0.0000000000e+00     4.9573453042e-01
    9.300000     0.0000000000e+00     0.0000000000e+00     4.7131568999e-01
    9.350000     0.0000000000e+00     0.0000000000e+00     4.5952453995e-01
    9.400000     0.0000000000e+00     0.0000000000e+00     4.6168338441e-01
    9.450000     0.0000000000e+00     0.0000000000e+00     4.7747710427e-01
    9.500000     0.0000000000e+00     0.0000000000e+00     5.0506910963e-01
    9.550000    -0.0000000000e+00    -0.0000000000e+00     5.4139346342e-01
